Designator,Mid X,Mid Y,Rotation,Layer
D1,153.285,-59.69,90.0,top
D10,172.335,-97.79,90.0,top
D11,191.385,-97.79,90.0,top
D12,210.435,-97.79,90.0,top
D2,172.335,-59.69,90.0,top
D3,191.385,-59.69,90.0,top
D4,210.435,-59.69,90.0,top
D5,153.285,-78.74,90.0,top
D6,172.335,-78.74,90.0,top
D7,191.385,-78.74,90.0,top
D8,210.435,-78.74,90.0,top
D9,153.285,-97.79,90.0,top
S1,143.76,-57.525,0.0,top
S10,162.81,-95.625,0.0,top
S11,181.86,-95.625,0.0,top
S12,200.91,-95.625,0.0,top
S2,162.81,-57.525,0.0,top
S3,181.86,-57.525,0.0,top
S4,200.91,-57.525,0.0,top
S5,143.76,-76.575,0.0,top
S6,162.81,-76.575,0.0,top
S7,181.86,-76.575,0.0,top
S8,200.91,-76.575,0.0,top
S9,143.76,-95.625,0.0,top
SW1,143.51,-40.64,0.0,top
U1,192.655,-41.275,270.0,top
